Sản phẩm,Năm,Giá trị
Cà phê (Triệu đô la Mỹ),1995,
Cà phê (Triệu đô la Mỹ),1996,
Cà phê (Triệu đô la Mỹ),1997,
Cà phê (Triệu đô la Mỹ),1998,
Cà phê (Triệu đô la Mỹ),1999,
Cà phê (Triệu đô la Mỹ),2000,
Cà phê (Triệu đô la Mỹ),2001,
Cà phê (Triệu đô la Mỹ),2002,
Cà phê (Triệu đô la Mỹ),2003,
Cà phê (Triệu đô la Mỹ),2004,
Cà phê (Triệu đô la Mỹ),2005,
Cà phê (Triệu đô la Mỹ),2006,
Cà phê (Triệu đô la Mỹ),2007,
Cà phê (Triệu đô la Mỹ),2008,
Cà phê (Triệu đô la Mỹ),2009,
Cà phê (Triệu đô la Mỹ),2010,1851.4
Cà phê (Triệu đô la Mỹ),2011,2760.2
Cà phê (Triệu đô la Mỹ),2012,3674.40167601
Cà phê (Triệu đô la Mỹ),2013,2717.268
Cà phê (Triệu đô la Mỹ),2014,3557.364
Cà phê (Triệu đô la Mỹ),2015,2671
Cà phê (Triệu đô la Mỹ),2016,3336.61788625
Cà phê (Triệu đô la Mỹ),2017,3500.588
Cà phê (Triệu đô la Mỹ),2018,3536.402485
Cà phê (Triệu đô la Mỹ),2019,2863.79618711
Cà phê (Triệu đô la Mỹ),2020,2741.96390062
Cà phê (Triệu đô la Mỹ),2021,3072.71122248
Cà phê (Triệu đô la Mỹ),2022,4056.39947237
Cà phê (Triệu đô la Mỹ),2023,4226.60078532
Cà phê (Triệu đô la Mỹ),Sơ bộ 2024,5620.42612
Chè (Triệu đô la Mỹ),1995,
Chè (Triệu đô la Mỹ),1996,
Chè (Triệu đô la Mỹ),1997,
Chè (Triệu đô la Mỹ),1998,
Chè (Triệu đô la Mỹ),1999,
Chè (Triệu đô la Mỹ),2000,
Chè (Triệu đô la Mỹ),2001,
Chè (Triệu đô la Mỹ),2002,
Chè (Triệu đô la Mỹ),2003,
Chè (Triệu đô la Mỹ),2004,
Chè (Triệu đô la Mỹ),2005,
Chè (Triệu đô la Mỹ),2006,
Chè (Triệu đô la Mỹ),2007,
Chè (Triệu đô la Mỹ),2008,
Chè (Triệu đô la Mỹ),2009,
Chè (Triệu đô la Mỹ),2010,200.5
Chè (Triệu đô la Mỹ),2011,205.5
Chè (Triệu đô la Mỹ),2012,224.84707133
Chè (Triệu đô la Mỹ),2013,229.406
Chè (Triệu đô la Mỹ),2014,228.12
Chè (Triệu đô la Mỹ),2015,217.2
Chè (Triệu đô la Mỹ),2016,227.99279638
Chè (Triệu đô la Mỹ),2017,232.862
Chè (Triệu đô la Mỹ),2018,227.2311405
Chè (Triệu đô la Mỹ),2019,242.24353178
Chè (Triệu đô la Mỹ),2020,219.34979087
Chè (Triệu đô la Mỹ),2021,216.20178499
Chè (Triệu đô la Mỹ),2022,238.89725106
Chè (Triệu đô la Mỹ),2023,211.64538362
Chè (Triệu đô la Mỹ),Sơ bộ 2024,256.370704
Hạt tiêu (Triệu đô la Mỹ),1995,
Hạt tiêu (Triệu đô la Mỹ),1996,
Hạt tiêu (Triệu đô la Mỹ),1997,
Hạt tiêu (Triệu đô la Mỹ),1998,
Hạt tiêu (Triệu đô la Mỹ),1999,
Hạt tiêu (Triệu đô la Mỹ),2000,
Hạt tiêu (Triệu đô la Mỹ),2001,
Hạt tiêu (Triệu đô la Mỹ),2002,
Hạt tiêu (Triệu đô la Mỹ),2003,
Hạt tiêu (Triệu đô la Mỹ),2004,
Hạt tiêu (Triệu đô la Mỹ),2005,
Hạt tiêu (Triệu đô la Mỹ),2006,
Hạt tiêu (Triệu đô la Mỹ),2007,
Hạt tiêu (Triệu đô la Mỹ),2008,
Hạt tiêu (Triệu đô la Mỹ),2009,
Hạt tiêu (Triệu đô la Mỹ),2010,421.5
Hạt tiêu (Triệu đô la Mỹ),2011,732.5
Hạt tiêu (Triệu đô la Mỹ),2012,793.65020952
Hạt tiêu (Triệu đô la Mỹ),2013,889.817
Hạt tiêu (Triệu đô la Mỹ),2014,1201.87
Hạt tiêu (Triệu đô la Mỹ),2015,1259.9
Hạt tiêu (Triệu đô la Mỹ),2016,1429.21142985
Hạt tiêu (Triệu đô la Mỹ),2017,1117.98
Hạt tiêu (Triệu đô la Mỹ),2018,758.9660488
Hạt tiêu (Triệu đô la Mỹ),2019,714.44636298
Hạt tiêu (Triệu đô la Mỹ),2020,660.63867013
Hạt tiêu (Triệu đô la Mỹ),2021,937.46078972
Hạt tiêu (Triệu đô la Mỹ),2022,970.65220333
Hạt tiêu (Triệu đô la Mỹ),2023,910.38315066
Hạt tiêu (Triệu đô la Mỹ),Sơ bộ 2024,1314.595317
Gạo (Triệu đô la Mỹ),1995,
Gạo (Triệu đô la Mỹ),1996,
Gạo (Triệu đô la Mỹ),1997,
Gạo (Triệu đô la Mỹ),1998,
Gạo (Triệu đô la Mỹ),1999,
Gạo (Triệu đô la Mỹ),2000,
Gạo (Triệu đô la Mỹ),2001,
Gạo (Triệu đô la Mỹ),2002,
Gạo (Triệu đô la Mỹ),2003,
Gạo (Triệu đô la Mỹ),2004,
Gạo (Triệu đô la Mỹ),2005,
Gạo (Triệu đô la Mỹ),2006,
Gạo (Triệu đô la Mỹ),2007,
Gạo (Triệu đô la Mỹ),2008,
Gạo (Triệu đô la Mỹ),2009,
Gạo (Triệu đô la Mỹ),2010,3249.5
Gạo (Triệu đô la Mỹ),2011,3659
Gạo (Triệu đô la Mỹ),2012,3673.65359507
Gạo (Triệu đô la Mỹ),2013,2922.705
Gạo (Triệu đô la Mỹ),2014,2935.176
Gạo (Triệu đô la Mỹ),2015,2796.3
Gạo (Triệu đô la Mỹ),2016,2158.98140697
Gạo (Triệu đô la Mỹ),2017,2633.472
Gạo (Triệu đô la Mỹ),2018,3060.1663919
Gạo (Triệu đô la Mỹ),2019,2806.35631997
Gạo (Triệu đô la Mỹ),2020,3119.96694629
Gạo (Triệu đô la Mỹ),2021,3287.62275814
Gạo (Triệu đô la Mỹ),2022,3454.54428611
Gạo (Triệu đô la Mỹ),2023,4675.76640288
Gạo (Triệu đô la Mỹ),Sơ bộ 2024,5665.72542
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),1995,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),1996,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),1997,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),1998,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),1999,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2000,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2001,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2002,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2003,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2004,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2005,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2006,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2007,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2008,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2009,
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2010,567.2
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2011,960.2
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2012,1351.448
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2013,1101.757
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2014,1138.491
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2015,1320.3
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2016,1001.55990784
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2017,1036.769
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2018,961.2972462
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2019,970.32723835
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2020,1017.90412481
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2021,1176.65502929
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2022,1407.629552
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),2023,1306.04852213
Sắn và các sản phẩm của sắn (Triệu đô la Mỹ),Sơ bộ 2024,1155.626419
Clanhke và xi măng (Triệu đô la Mỹ),1995,
Clanhke và xi măng (Triệu đô la Mỹ),1996,
Clanhke và xi măng (Triệu đô la Mỹ),1997,
Clanhke và xi măng (Triệu đô la Mỹ),1998,
Clanhke và xi măng (Triệu đô la Mỹ),1999,
Clanhke và xi măng (Triệu đô la Mỹ),2000,
Clanhke và xi măng (Triệu đô la Mỹ),2001,
Clanhke và xi măng (Triệu đô la Mỹ),2002,
Clanhke và xi măng (Triệu đô la Mỹ),2003,
Clanhke và xi măng (Triệu đô la Mỹ),2004,
Clanhke và xi măng (Triệu đô la Mỹ),2005,
Clanhke và xi măng (Triệu đô la Mỹ),2006,
Clanhke và xi măng (Triệu đô la Mỹ),2007,
Clanhke và xi măng (Triệu đô la Mỹ),2008,
Clanhke và xi măng (Triệu đô la Mỹ),2009,
Clanhke và xi măng (Triệu đô la Mỹ),2010,
Clanhke và xi măng (Triệu đô la Mỹ),2011,
Clanhke và xi măng (Triệu đô la Mỹ),2012,
Clanhke và xi măng (Triệu đô la Mỹ),2013,
Clanhke và xi măng (Triệu đô la Mỹ),2014,
Clanhke và xi măng (Triệu đô la Mỹ),2015,667.328
Clanhke và xi măng (Triệu đô la Mỹ),2016,560.173
Clanhke và xi măng (Triệu đô la Mỹ),2017,706.665
Clanhke và xi măng (Triệu đô la Mỹ),2018,1240.595
Clanhke và xi măng (Triệu đô la Mỹ),2019,1391.498
Clanhke và xi măng (Triệu đô la Mỹ),2020,1435.85510403
Clanhke và xi măng (Triệu đô la Mỹ),2021,1758.04132652
Clanhke và xi măng (Triệu đô la Mỹ),2022,1383.38269342
Clanhke và xi măng (Triệu đô la Mỹ),2023,1324.9074382
Clanhke và xi măng (Triệu đô la Mỹ),Sơ bộ 2024,1137.441904
Than đá (Triệu đô la Mỹ),1995,
Than đá (Triệu đô la Mỹ),1996,
Than đá (Triệu đô la Mỹ),1997,
Than đá (Triệu đô la Mỹ),1998,
Than đá (Triệu đô la Mỹ),1999,
Than đá (Triệu đô la Mỹ),2000,
Than đá (Triệu đô la Mỹ),2001,
Than đá (Triệu đô la Mỹ),2002,
Than đá (Triệu đô la Mỹ),2003,
Than đá (Triệu đô la Mỹ),2004,
Than đá (Triệu đô la Mỹ),2005,
Than đá (Triệu đô la Mỹ),2006,
Than đá (Triệu đô la Mỹ),2007,
Than đá (Triệu đô la Mỹ),2008,
Than đá (Triệu đô la Mỹ),2009,
Than đá (Triệu đô la Mỹ),2010,1614.6
Than đá (Triệu đô la Mỹ),2011,1632.2
Than đá (Triệu đô la Mỹ),2012,1239.81987737
Than đá (Triệu đô la Mỹ),2013,914.121
Than đá (Triệu đô la Mỹ),2014,554.526
Than đá (Triệu đô la Mỹ),2015,185.1
Than đá (Triệu đô la Mỹ),2016,138.73321048
Than đá (Triệu đô la Mỹ),2017,287.12
Than đá (Triệu đô la Mỹ),2018,321.4534553
Than đá (Triệu đô la Mỹ),2019,168.81516411
Than đá (Triệu đô la Mỹ),2020,119.62185567
Than đá (Triệu đô la Mỹ),2021,246.09731387
Than đá (Triệu đô la Mỹ),2022,411.02065724
Than đá (Triệu đô la Mỹ),2023,249.14058934
Than đá (Triệu đô la Mỹ),Sơ bộ 2024,161.165785
Dầu thô (Triệu đô la Mỹ),1995,
Dầu thô (Triệu đô la Mỹ),1996,
Dầu thô (Triệu đô la Mỹ),1997,
Dầu thô (Triệu đô la Mỹ),1998,
Dầu thô (Triệu đô la Mỹ),1999,
Dầu thô (Triệu đô la Mỹ),2000,
Dầu thô (Triệu đô la Mỹ),2001,
Dầu thô (Triệu đô la Mỹ),2002,
Dầu thô (Triệu đô la Mỹ),2003,
Dầu thô (Triệu đô la Mỹ),2004,
Dầu thô (Triệu đô la Mỹ),2005,
Dầu thô (Triệu đô la Mỹ),2006,
Dầu thô (Triệu đô la Mỹ),2007,
Dầu thô (Triệu đô la Mỹ),2008,
Dầu thô (Triệu đô la Mỹ),2009,
Dầu thô (Triệu đô la Mỹ),2010,5023.5
Dầu thô (Triệu đô la Mỹ),2011,7241.5
Dầu thô (Triệu đô la Mỹ),2012,8211.85188644
Dầu thô (Triệu đô la Mỹ),2013,7226.402
Dầu thô (Triệu đô la Mỹ),2014,7224.2
Dầu thô (Triệu đô la Mỹ),2015,3823.78
Dầu thô (Triệu đô la Mỹ),2016,2361.146
Dầu thô (Triệu đô la Mỹ),2017,2885.592
Dầu thô (Triệu đô la Mỹ),2018,2196.7540645
Dầu thô (Triệu đô la Mỹ),2019,2045.7797364
Dầu thô (Triệu đô la Mỹ),2020,1572.80124073
Dầu thô (Triệu đô la Mỹ),2021,1745.87034478
Dầu thô (Triệu đô la Mỹ),2022,2209.06901985
Dầu thô (Triệu đô la Mỹ),2023,1892.45216919
Dầu thô (Triệu đô la Mỹ),Sơ bộ 2024,1727.708351
"Xăng, dầu (Triệu đô la Mỹ)",1995,
"Xăng, dầu (Triệu đô la Mỹ)",1996,
"Xăng, dầu (Triệu đô la Mỹ)",1997,
"Xăng, dầu (Triệu đô la Mỹ)",1998,
"Xăng, dầu (Triệu đô la Mỹ)",1999,
"Xăng, dầu (Triệu đô la Mỹ)",2000,
"Xăng, dầu (Triệu đô la Mỹ)",2001,
"Xăng, dầu (Triệu đô la Mỹ)",2002,
"Xăng, dầu (Triệu đô la Mỹ)",2003,
"Xăng, dầu (Triệu đô la Mỹ)",2004,
"Xăng, dầu (Triệu đô la Mỹ)",2005,
"Xăng, dầu (Triệu đô la Mỹ)",2006,
"Xăng, dầu (Triệu đô la Mỹ)",2007,
"Xăng, dầu (Triệu đô la Mỹ)",2008,
"Xăng, dầu (Triệu đô la Mỹ)",2009,
"Xăng, dầu (Triệu đô la Mỹ)",2010,
"Xăng, dầu (Triệu đô la Mỹ)",2011,
"Xăng, dầu (Triệu đô la Mỹ)",2012,
"Xăng, dầu (Triệu đô la Mỹ)",2013,1307.7
"Xăng, dầu (Triệu đô la Mỹ)",2014,1101.818
"Xăng, dầu (Triệu đô la Mỹ)",2015,734.723
"Xăng, dầu (Triệu đô la Mỹ)",2016,865.378
"Xăng, dầu (Triệu đô la Mỹ)",2017,1483.352
"Xăng, dầu (Triệu đô la Mỹ)",2018,2065.472
"Xăng, dầu (Triệu đô la Mỹ)",2019,2096.887
"Xăng, dầu (Triệu đô la Mỹ)",2020,957.34306704
"Xăng, dầu (Triệu đô la Mỹ)",2021,1438.04184095
"Xăng, dầu (Triệu đô la Mỹ)",2022,2055.08578464
"Xăng, dầu (Triệu đô la Mỹ)",2023,2028.41450327
"Xăng, dầu (Triệu đô la Mỹ)",Sơ bộ 2024,1913.759594
Hóa chất (Triệu đô la Mỹ),1995,
Hóa chất (Triệu đô la Mỹ),1996,
Hóa chất (Triệu đô la Mỹ),1997,
Hóa chất (Triệu đô la Mỹ),1998,
Hóa chất (Triệu đô la Mỹ),1999,
Hóa chất (Triệu đô la Mỹ),2000,
Hóa chất (Triệu đô la Mỹ),2001,
Hóa chất (Triệu đô la Mỹ),2002,
Hóa chất (Triệu đô la Mỹ),2003,
Hóa chất (Triệu đô la Mỹ),2004,
Hóa chất (Triệu đô la Mỹ),2005,
Hóa chất (Triệu đô la Mỹ),2006,
Hóa chất (Triệu đô la Mỹ),2007,
Hóa chất (Triệu đô la Mỹ),2008,
Hóa chất (Triệu đô la Mỹ),2009,
Hóa chất (Triệu đô la Mỹ),2010,
Hóa chất (Triệu đô la Mỹ),2011,
Hóa chất (Triệu đô la Mỹ),2012,
Hóa chất (Triệu đô la Mỹ),2013,604.1
Hóa chất (Triệu đô la Mỹ),2014,933.896
Hóa chất (Triệu đô la Mỹ),2015,918.905
Hóa chất (Triệu đô la Mỹ),2016,944.276
Hóa chất (Triệu đô la Mỹ),2017,1270.613
Hóa chất (Triệu đô la Mỹ),2018,1905.64
Hóa chất (Triệu đô la Mỹ),2019,1856.323
Hóa chất (Triệu đô la Mỹ),2020,1748.59805776
Hóa chất (Triệu đô la Mỹ),2021,2503.5067123
Hóa chất (Triệu đô la Mỹ),2022,3087.65878985
Hóa chất (Triệu đô la Mỹ),2023,2404.9944092
Hóa chất (Triệu đô la Mỹ),Sơ bộ 2024,2760.550993
Sản phẩm hóa chất (Triệu đô la Mỹ),1995,
Sản phẩm hóa chất (Triệu đô la Mỹ),1996,
Sản phẩm hóa chất (Triệu đô la Mỹ),1997,
Sản phẩm hóa chất (Triệu đô la Mỹ),1998,
Sản phẩm hóa chất (Triệu đô la Mỹ),1999,
Sản phẩm hóa chất (Triệu đô la Mỹ),2000,
Sản phẩm hóa chất (Triệu đô la Mỹ),2001,
Sản phẩm hóa chất (Triệu đô la Mỹ),2002,
Sản phẩm hóa chất (Triệu đô la Mỹ),2003,
Sản phẩm hóa chất (Triệu đô la Mỹ),2004,
Sản phẩm hóa chất (Triệu đô la Mỹ),2005,
Sản phẩm hóa chất (Triệu đô la Mỹ),2006,
Sản phẩm hóa chất (Triệu đô la Mỹ),2007,
Sản phẩm hóa chất (Triệu đô la Mỹ),2008,
Sản phẩm hóa chất (Triệu đô la Mỹ),2009,
Sản phẩm hóa chất (Triệu đô la Mỹ),2010,
Sản phẩm hóa chất (Triệu đô la Mỹ),2011,
Sản phẩm hóa chất (Triệu đô la Mỹ),2012,
Sản phẩm hóa chất (Triệu đô la Mỹ),2013,683.464
Sản phẩm hóa chất (Triệu đô la Mỹ),2014,791.21
Sản phẩm hóa chất (Triệu đô la Mỹ),2015,744.03
Sản phẩm hóa chất (Triệu đô la Mỹ),2016,769.229
Sản phẩm hóa chất (Triệu đô la Mỹ),2017,886.627
Sản phẩm hóa chất (Triệu đô la Mỹ),2018,1088.783
Sản phẩm hóa chất (Triệu đô la Mỹ),2019,1354.734
Sản phẩm hóa chất (Triệu đô la Mỹ),2020,1485.39844803
Sản phẩm hóa chất (Triệu đô la Mỹ),2021,1992.34971645
Sản phẩm hóa chất (Triệu đô la Mỹ),2022,2509.00901175
Sản phẩm hóa chất (Triệu đô la Mỹ),2023,2410.7348842
Sản phẩm hóa chất (Triệu đô la Mỹ),Sơ bộ 2024,2708.820201
Chất dẻo nguyên liệu (Triệu đô la Mỹ),1995,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),1996,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),1997,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),1998,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),1999,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2000,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2001,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2002,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2003,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2004,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2005,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2006,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2007,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2008,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2009,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2010,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2011,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2012,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2013,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2014,
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2015,398.131
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2016,357.097
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2017,515.188
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2018,969.095
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2019,1266.05
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2020,1347.92514167
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2021,2264.04923373
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2022,2310.3037127
Chất dẻo nguyên liệu (Triệu đô la Mỹ),2023,2168.75995807
Chất dẻo nguyên liệu (Triệu đô la Mỹ),Sơ bộ 2024,2630.839482
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),1995,
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),1996,
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),1997,
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),1998,
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),1999,
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2000,95.5
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2001,119.6
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2002,143.4
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2003,170.2
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2004,239.2
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2005,357.7
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2006,452.3
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2007,709.5
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2008,933.7
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2009,867.4
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2010,1130.2
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2011,1373.7
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2012,1595.501
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2013,1817.826
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2014,2041.336
Sản phẩm từ chất dẻo (Triệu đô la Mỹ),2015,2060.3
