"Tỉnh, thành phố",Số dự án và tổng vốn đăng ký,Giá trị
TP. Hồ Chí Minh,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),3041.259020973406
Đồng bằng sông Cửu Long,Số dự án,142
Đồng bằng sông Cửu Long,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),1297.203057092188
Long An,Số dự án,124
Long An,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),886.6747739701171
Tiền Giang,Số dự án,6
Tiền Giang,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),311.331185885
Bến Tre,Số dự án,1
Bến Tre,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),11.2387155625
Trà Vinh,Số dự án,
Trà Vinh,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),2.98816849
Vĩnh Long,Số dự án,2
Vĩnh Long,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),17.6447287245703
Đồng Tháp,Số dự án,
Đồng Tháp,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),0.50973132
An Giang,Số dự án,
An Giang,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),0.933312
Kiên Giang,Số dự án,3
Kiên Giang,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),23.25920573
Cần Thơ,Số dự án,3
Cần Thơ,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),-2.40638959
Hậu Giang,Số dự án,1
Hậu Giang,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),0.15
Sóc Trăng,Số dự án,
Sóc Trăng,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),16.502125
Bạc Liêu,Số dự án,1
Bạc Liêu,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),20.96
Cà Mau,Số dự án,1
Cà Mau,Tổng vốn đăng ký (*) (Triệu đô la Mỹ),7.4175
